kakkultu,446
kalappum,447
kaldu,448
kallatum,449
kalpurhu,450
kalum,451
kalu,452
kalzu,453
kamasum,454
kamašu,455
kammasu,456
kamu,457
kanalu,458
kanašum,459
kanikum,460
kannum,461
kanum,462
kanum,463
kanuku,464
kapallu,465
kaparum,466
kapiṣu,467
kapru,468
karagaldu,469
karanu,470
karašku,471
karballatu,472
karratu,473
karšu,474
karu,475
karum,476
kaskasum,477
kasu,478
kasulathu,479
kaṣarum,480
kaṣaṣu,481
kaṣum,482
kašadum,483
kašadum,484
kašašum,485
kaššaptum,486
kašutum,487
katappatu,488
katpallu,489
kazabu,490
kerkiranu,491
ki,492
kiaim,493
kibiru,494
kibsu,495
kidinnu,496
kidum,497
kikkiranum,498
kililum,499
kima,500
kimahum,501
kimtum,502
kinattutu,503
kinsikkum,504
kinunu,505
kippum,506
kirnu,507
kirum,508
kisattu,509
kismum,510
kisu,511
kiṣrum,512
kiša,513
kišippu,514
kiššanum,515
kiššu,516
kitpulu,517
kittu,518
kiurum,519
kuanu,520
kubšuhuli,521
kudaru,522
kudurru,523
kukru,524
kulattum,525
kullum,526
kullumum,527
kulpašum,528
kumiru,529
kunibu,530
kunušim,531
kuppittu,532
kurapanu,533
kurkudum,534
kursisakkum,535
kurulum,536
kurussu,537
kusiu,538
kuṣum,539
kušru,540
kutallutu,541
kuttumu,542
kuzullum,543
laabum,544
labanatu,545
labarum,546
labašum,547
labinu,548
labiš,549
labussu,550
lahantu,551
lairanu,552
lagu,553
lamadum,554
lamhuššu,555
lamaštum,556
lamu,557
lapatum,558
lapatum,559
laplaptum,560
laqaum,561
lasimum,562
laššutu,563
lawum,564
lawutanu,565
lemmu,566
lemum,567
lequm,568
leru,569
leum,570
leutum,571
libbum,572
libbum,573
libbu,574
lidanu,575
lilittu,576
lima,577
lipum,578
lisnu,579
litku,580
litu,581
lu,582
lum,583
lubnu,584
luhummum,585
luludanitu,586
lungirtu,587
lurpianum,588
ma,589
ma,590
maadu,591
madaru,592
madlaum,593
madu,594
magannutu,595
magaru,596
magisu,597
maharum,598
maharum,599
maharu,600
mahaṣum,601
mahatum,602
mahhutiš,603
mahirum,604
mahratum,605
mahrum,606
maitu,607
makallu,608
makaṣṣu,609
makkuru,610
maku,611
mala,612
malahum,613
malaku,614
malbašu,615
malkum,616
malu,617
malum,618
malutu,619
mamlu,620
mammanu,621
manahum,622
manhalu,623
manu,624
manunum,625
maqatum,626
maqatum,627
maqraniš,628
mararum,629
maraṣum,630
mardatum,631
markabtu,632
marrurum,633
maršu,634
marturru,635
marum,636
marum,637
masabluurraku,638
maslau,639
maṣatanu,640
maṣṣarum,641
maṣum,642
mašadu,643
mašandu,644
mašdahu,645
mašhu,646
maškanum,647
maškuhuli,648
mašqu,649
maššitu,650
maštu,651
mašu,652
matime,653
matum,654
matum,655
matum,656
mau,657
mazzarutu,658
mazzizu,659
medu,660
mehrum,661
mehum,662
mekum,663
melum,664
menimeni,665
merešu,666
mesertu,667
mesukkannu,668
mešlu,669
metlutu,670
miditu,671
mikru,672
milu,673
mimmamu,674
mina,675
minum,676
minutum,677
mir,678
misissu,679
mišarutu,680
mišitum,681
mithartum,682
mithuṣutu,683
mitru,684
mu,685
mudanutu,686
mudulu,687
muhhum,688
muhhu,689
mukinnu,690
mulluqum,691
mummilu,692
mundalkutu,693
munu,694
muqqum,695
muredu,696
murtaimu,697
musellum,698
muṣarum,699
muṣuṣee,700
mušallu,701
mušatum,702
mušerišu,703
muškallimu,704
muššallu,705
muštannu,706
mušteu,707
mutaqu,708
muttabbilum,709
muttellum,710
mutum,711
muziqatu,712
na,713
naalum,714
nabalkutum,715
nabalkutum,716
nabaru,717
nabiuum,718
nabritu,719
nabudu,720
nadaal,721
nadanu,722
nadanu,723
nadillanum,724
nadum,725
nadum,726
nadum,727
nadum,728
nadu,729
nagapum,730
nagduqqu,731
nagmarum,732
naharšušu,733
nahatum,734
nahlaptum,735
nahum,736
nahu,737
nakapum,738
nakarum,739
nakarum,740
nakasum,741
nakkaptum,742
nakmum,743
naaktum,744
naltaptinum,745
namaru,746
namdattum,747
namlakatum,748
namriš,749
namullu,750
namzum,751
nanziqu,752
napalku,753
napalum,754
naparqudum,755
napaṣu,756
napašum,757
napilum,758
napišum,759
nappašu,760
napsaqu,761
naptaqu,762
naqabitu,763
naqbu,764
naquttu,765
naramum,766
nargitu,767
narmum,768
narum,769
nasahum,770
nasahum,771
nasakum,772
nasappu,773
našuru,774
nasrum,775
naṣarum,776
naṣmitu,777
naṣṣartu,778
našarbuṣu,779
našašu,780
našparum,781
našum,782
našum,783
našum,784
našum,785
natakušhu,786
natalum,787
natilu,788
nawarum,789
nawaššuum,790
nawum,791
nazaqatu,792
nazazum,793
nebettu,794
neheru,795
nekemtum,796
nemequm,797
nenu,798
nepitum,799
nerarutu,800
nerubatu,801
nesum,802
neštu,803
neu,804
niašum,805
nibum,806
